MATCHID,TEAM1,TEAM2,SCORES,SETSCORES,ATTACKS1,ATTACKS2,BLOCKS1,BLOCKS2,SERVES1,SERVES2,OPPONENT_ERRORS1,OPPONENT_ERRORS2,TOTAL1,TOTAL2,DIGS1,DIGS2,RECEPTION1,RECEPTION2,SETS1,SETS2
11806,Bulgaria,United States,"0
:
3","19-25
24-26
9-25",30,41,2,7,0,5,20,23,52,76,35,49,63,44,80,78
11807,Iran,Poland,"0
:
3","20-25
20-25
16-25",27,31,5,11,3,6,21,27,56,75,41,38,66,43,89,68
11808,Japan,Slovenia,"0
:
3","16-25
16-25
26-28",38,45,4,10,2,5,14,18,58,78,35,30,68,52,90,78
11809,France,Argentina,"3
:
0","26-24
25-21
25-22",41,37,8,7,6,0,21,23,76,67,46,39,53,61,80,77
11810,Brazil,Germany,"3
:
0","25-21
25-21
25-23",43,34,5,5,3,3,24,23,75,65,40,30,50,57,85,80
11811,Russia,Italy,"3
:
2","25-21
16-25
25-17
19-25
15-12",56,57,9,10,5,8,30,25,100,100,44,62,85,83,104,113
11812,Australia,Netherlands,"0
:
3","23-25
19-25
19-25",33,42,6,8,1,8,21,17,61,75,32,29,57,53,63,73
11813,Canada,Serbia,"3
:
2","17-25
21-25
25-17
25-20
17-15",47,62,19,9,1,8,38,23,105,102,76,74,76,90,124,145
11815,France,Poland,"3
:
2","25-22
21-25
22-25
25-20
15-11",57,52,11,15,5,3,35,33,108,103,58,54,79,87,119,116
11816,Iran,Argentina,"1
:
3","31-33
23-25
32-30
18-25",59,65,9,12,5,3,31,33,104,113,55,52,89,86,113,113
11817,Slovenia,Bulgaria,"3
:
0","25-23
25-16
25-18",36,34,5,8,3,2,31,13,75,57,43,23,41,65,66,71
11818,Italy,Germany,"3
:
2","25-12
24-26
25-22
21-25
15-13",58,52,15,9,5,5,32,32,110,98,73,76,78,87,123,131
11819,Brazil,Russia,"0
:
3","21-25
26-28
20-25",36,40,4,9,4,7,23,22,67,78,38,33,61,58,73,72
11820,Brazil,France,"3
:
0","25-20
25-18
25-19",45,31,9,3,3,2,17,21,74,57,36,41,49,61,75,77
11821,Poland,Slovenia,"3
:
0","25-22
25-21
25-23",37,38,14,6,6,5,18,17,75,66,37,41,53,63,72,83
11822,France,Slovenia,"3
:
0","25-20
25-18
25-19",44,31,11,6,5,3,15,17,75,57,38,32,48,61,71,79
