MATCHID,TEAM1,TEAM2,SCORES,SETSCORES,ATTACKS1,ATTACKS2,BLOCKS1,BLOCKS2,SERVES1,SERVES2,OPPONENT_ERRORS1,OPPONENT_ERRORS2,TOTAL1,TOTAL2,DIGS1,DIGS2,RECEPTION1,RECEPTION2,SETS1,SETS2
11719,Russia,Japan,"2
:
3","26-28
28-26
25-20
21-25
14-16",65,75,18,7,7,3,24,30,114,115,60,92,93,97,123,137
11720,United States,Argentina,"3
:
1","23-25
25-21
25-15
25-19",54,36,12,9,6,1,26,34,98,80,47,42,66,72,100,97
11721,Canada,Brazil,"1
:
3","17-25
20-25
25-22
25-27",52,60,12,6,2,6,21,27,87,99,60,63,86,71,106,116
11722,Poland,Slovenia,"1
:
3","22-25
25-23
19-25
23-25",51,61,8,8,3,5,27,24,89,98,44,47,81,79,117,131
11723,Serbia,Italy,"3
:
1","25-23
22-25
25-22
25-18",61,48,11,7,4,1,21,32,97,88,60,71,73,74,122,120
11724,Germany,Argentina,"2
:
3","19-25
25-23
25-17
23-25
13-15",56,70,9,8,4,2,36,25,105,105,54,68,79,87,112,132
11725,Iran,Canada,"3
:
1","22-25
25-22
25-22
25-22",55,51,14,7,6,3,22,30,97,91,49,53,76,76,98,102
11726,Japan,Serbia,"1
:
3","25-18
23-25
22-25
13-25",54,58,7,17,2,1,20,17,83,93,55,36,77,73,112,101
11727,Brazil,France,"0
:
3","37-39
18-25
28-30",49,54,5,6,4,3,25,31,83,94,57,64,75,69,99,103
11728,Netherlands,Slovenia,"0
:
3","18-25
15-25
18-25",28,39,4,7,3,6,16,23,51,75,26,41,63,39,77,71
11729,Australia,Poland,"0
:
3","16-25
10-25
12-25",20,31,1,13,1,11,16,20,38,75,17,26,62,29,68,52
11730,Italy,Bulgaria,"3
:
2","25-19
20-25
25-13
23-25
15-12",69,60,10,9,7,2,22,23,108,94,71,56,82,91,118,119
11731,Russia,United States,"3
:
1","25-22
25-19
17-25
25-19",56,52,6,5,2,3,28,25,92,85,54,62,69,74,102,98
11732,Argentina,Slovenia,"0
:
3","19-25
22-25
18-25",32,41,7,5,0,4,20,25,59,75,57,51,58,49,87,87
11733,Netherlands,Germany,"3
:
2","25-18
23-25
25-20
23-25
15-13",66,55,7,6,9,5,29,35,111,101,62,57,83,88,126,110
11734,Brazil,Japan,"3
:
0","25-20
25-16
25-20",48,31,3,6,7,2,17,17,75,56,52,38,47,64,81,72
11735,Serbia,France,"3
:
2","22-25
24-26
25-22
25-23
15-9",62,58,11,5,3,9,35,33,111,105,43,61,85,88,106,118
11736,Iran,Italy,"3
:
1","26-24
29-27
21-25
25-22",50,64,10,3,7,8,34,23,101,98,60,71,79,87,126,132
11737,Poland,United States,"3
:
0","25-17
28-26
25-17",40,32,10,8,2,2,26,18,78,60,51,53,43,65,75,85
11738,Russia,Australia,"3
:
0","25-19
26-24
25-21",46,29,7,4,4,2,19,29,76,64,27,30,57,57,87,81
11739,Canada,Bulgaria,"3
:
0","28-26
25-23
25-16",41,39,10,4,7,4,20,18,78,65,41,44,51,66,74,83
11740,Netherlands,Argentina,"0
:
3","19-25
20-25
23-25",35,43,7,10,6,2,14,20,62,75,34,37,65,52,93,81
11741,Slovenia,Germany,"1
:
3","25-19
20-25
21-25
20-25",47,48,5,8,5,7,29,31,86,94,72,79,71,67,114,115
11742,France,Japan,"3
:
2","21-25
25-22
24-26
25-21
15-11",65,63,9,7,6,5,30,30,110,105,44,46,87,90,115,125
11743,Brazil,Serbia,"3
:
1","23-25
25-23
25-15
25-22",58,49,14,6,3,4,23,26,98,85,44,56,74,78,95,109
11744,Russia,Poland,"1
:
3","25-21
19-25
19-25
14-25",45,42,4,12,6,12,22,30,77,96,47,47,78,58,94,82
11745,United States,Australia,"3
:
0","25-23
25-20
25-17",38,36,9,2,6,1,22,21,75,60,45,47,53,59,76,84
11746,Bulgaria,Iran,"0
:
3","20-25
31-33
22-25",40,41,5,9,4,5,24,28,73,83,43,44,68,55,93,77
11747,Canada,Italy,"2
:
3","19-25
21-25
25-21
28-26
11-15",61,50,8,18,8,5,27,39,104,112,73,66,95,86,141,110
11748,Serbia,Germany,"3
:
1","19-25
25-22
25-18
25-15",45,41,9,5,7,6,33,28,94,80,55,56,60,70,88,98
11749,Japan,Australia,"3
:
1","25-18
21-25
28-26
26-24",64,59,8,8,5,1,23,25,100,93,75,75,79,86,125,124
11750,France,Russia,"3
:
1","22-25
25-18
30-28
25-19",56,54,9,5,7,3,30,28,102,90,63,43,68,83,104,104
11751,Slovenia,Canada,"3
:
0","25-22
25-19
25-22",44,34,3,5,5,2,23,22,75,63,39,33,50,59,73,73
11752,Argentina,Italy,"0
:
3","28-30
21-25
20-25",38,38,9,16,1,6,21,20,69,80,37,45,64,56,101,89
11753,Iran,United States,"3
:
0","25-19
25-23
25-23",44,37,7,6,5,1,19,21,75,65,53,48,57,63,92,93
11754,Poland,Bulgaria,"3
:
0","25-19
25-15
25-12",39,27,8,2,8,1,20,16,75,46,29,21,34,59,67,66
11755,Netherlands,Brazil,"0
:
3","19-25
22-25
25-27",41,44,7,9,4,3,14,21,66,77,40,37,71,53,84,82
11756,Serbia,Iran,"3
:
2","21-25
25-15
26-28
25-22
15-8",65,51,12,8,9,7,26,32,112,98,71,50,82,91,116,106
11757,Russia,Canada,"3
:
1","25-18
25-18
23-25
25-23",51,44,15,5,6,7,26,28,98,84,37,53,68,78,99,102
11758,France,Slovenia,"2
:
3","25-17
25-19
23-25
19-25
9-15",48,55,3,11,6,5,44,30,101,101,67,60,69,79,100,106
11759,Argentina,Australia,"3
:
0","25-18
25-19
25-20",49,32,6,7,5,1,15,17,75,57,35,32,49,61,82,72
